description,name,geometry_vertex_count,Id,import_notes,geometry
"<div class=""googft-info-window"">
<b>geometry_vertex_count:</b> 265<br>
<b>Id:</b> 1<br>
<b>Pro_Name:</b> Situhar IP (GCA - 300 Ha)<br>
<b>import_notes:</b> 
</div>",Situhar IP (GCA - 300 Ha),265,1,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>85.123067,27.040212,0.0 85.123036,27.040232,0.0 85.12304,27.040605,0.0 85.122935,27.041028,0.0 85.122939,27.041384,0.0 85.122998,27.041838,0.0 85.123055,27.042146,0.0 85.12315,27.042566,0.0 85.123117,27.042858,0.0 85.122884,27.043168,0.0 85.122451,27.043318,0.0 85.122001,27.043532,0.0 85.121731,27.043745,0.0 85.121463,27.044055,0.0 85.122064,27.044406,0.0 85.122023,27.04578,0.0 85.122101,27.046996,0.0 85.124688,27.047763,0.0 85.125078,27.047907,0.0 85.125431,27.048217,0.0 85.125613,27.048459,0.0 85.125803,27.048613,0.0 85.125962,27.048976,0.0 85.127401,27.047454,0.0 85.12783,27.045731,0.0 85.128143,27.044889,0.0 85.128411,27.044128,0.0 85.128569,27.04387,0.0 85.12876,27.04354,0.0 85.128873,27.043345,0.0 85.129054,27.043138,0.0 85.129582,27.042505,0.0 85.131212,27.042596,0.0 85.13171,27.041914,0.0 85.131166,27.039939,0.0 85.131059,27.038881,0.0 85.131516,27.038078,0.0 85.132113,27.037674,0.0 85.132182,27.037522,0.0 85.132094,27.037415,0.0 85.132038,27.037269,0.0 85.13208,27.037122,0.0 85.132276,27.037062,0.0 85.13245,27.037051,0.0 85.13258,27.036942,0.0 85.132568,27.036825,0.0 85.132457,27.036631,0.0 85.132481,27.036473,0.0 85.132476,27.036396,0.0 85.132341,27.035938,0.0 85.13212,27.035725,0.0 85.132065,27.035618,0.0 85.132107,27.035422,0.0 85.132203,27.035285,0.0 85.132179,27.03505,0.0 85.132341,27.034854,0.0 85.132701,27.03489,0.0 85.133038,27.034868,0.0 85.133268,27.034846,0.0 85.133496,27.034865,0.0 85.133694,27.034872,0.0 85.134033,27.034948,0.0 85.134512,27.034905,0.0 85.134892,27.034677,0.0 85.135184,27.03443,0.0 85.135171,27.034255,0.0 85.135104,27.034099,0.0 85.135211,27.033912,0.0 85.135498,27.033871,0.0 85.135759,27.033778,0.0 85.135819,27.0337,0.0 85.135776,27.03358,0.0 85.135581,27.033446,0.0 85.135534,27.033356,0.0 85.135537,27.033183,0.0 85.135531,27.033014,0.0 85.135479,27.032915,0.0 85.135441,27.032775,0.0 85.135307,27.032604,0.0 85.135231,27.032526,0.0 85.13507,27.032482,0.0 85.134862,27.032384,0.0 85.134658,27.032275,0.0 85.134396,27.032026,0.0 85.134277,27.031882,0.0 85.134147,27.031727,0.0 85.134071,27.031583,0.0 85.133979,27.03153,0.0 85.133996,27.031411,0.0 85.134297,27.031107,0.0 85.134335,27.031026,0.0 85.134329,27.030895,0.0 85.134221,27.030749,0.0 85.134079,27.030647,0.0 85.133834,27.030582,0.0 85.133582,27.030592,0.0 85.133347,27.030601,0.0 85.133156,27.030635,0.0 85.133011,27.030719,0.0 85.132764,27.030793,0.0 85.132533,27.030755,0.0 85.132382,27.03072,0.0 85.13219,27.030599,0.0 85.132025,27.030481,0.0 85.131966,27.030362,0.0 85.132136,27.029643,0.0 85.131845,27.029312,0.0 85.131607,27.029207,0.0 85.131519,27.02914,0.0 85.131238,27.028939,0.0 85.131043,27.028544,0.0 85.130828,27.028292,0.0 85.130588,27.02819,0.0 85.130201,27.028071,0.0 85.130159,27.027809,0.0 85.130462,27.027604,0.0 85.130289,27.027554,0.0 85.130114,27.027369,0.0 85.130139,27.027202,0.0 85.130205,27.027098,0.0 85.13019,27.026959,0.0 85.1301,27.026801,0.0 85.129881,27.026644,0.0 85.129605,27.026543,0.0 85.129121,27.026452,0.0 85.128967,27.026459,0.0 85.12867,27.026527,0.0 85.128114,27.026805,0.0 85.127906,27.026835,0.0 85.127679,27.026749,0.0 85.127482,27.026556,0.0 85.127387,27.02639,0.0 85.127247,27.026226,0.0 85.127073,27.026033,0.0 85.126922,27.025839,0.0 85.126714,27.025676,0.0 85.126537,27.025544,0.0 85.126226,27.025431,0.0 85.125795,27.025417,0.0 85.125596,27.025416,0.0 85.125245,27.025308,0.0 85.124934,27.025157,0.0 85.124613,27.024944,0.0 85.124348,27.024872,0.0 85.124038,27.024855,0.0 85.123791,27.024774,0.0 85.123471,27.024479,0.0 85.123205,27.024156,0.0 85.122961,27.023809,0.0 85.122763,27.023474,0.0 85.122479,27.023268,0.0 85.12214,27.023249,0.0 85.121981,27.023333,0.0 85.121767,27.023531,0.0 85.121571,27.023682,0.0 85.121331,27.023673,0.0 85.121042,27.023577,0.0 85.120835,27.023382,0.0 85.120607,27.023035,0.0 85.120325,27.02277,0.0 85.120116,27.022765,0.0 85.12,27.022877,0.0 85.119926,27.022996,0.0 85.119781,27.023147,0.0 85.119572,27.0232,0.0 85.119214,27.022848,0.0 85.118902,27.022556,0.0 85.118725,27.022541,0.0 85.118625,27.022506,0.0 85.118497,27.022427,0.0 85.118355,27.022393,0.0 85.118345,27.022672,0.0 85.118252,27.022835,0.0 85.118042,27.02306,0.0 85.117993,27.023172,0.0 85.117995,27.023371,0.0 85.118114,27.023601,0.0 85.118281,27.023728,0.0 85.11843,27.023743,0.0 85.118726,27.023667,0.0 85.118822,27.023731,0.0 85.118893,27.023873,0.0 85.118892,27.024087,0.0 85.118728,27.024383,0.0 85.11852,27.024506,0.0 85.118347,27.024648,0.0 85.118301,27.025019,0.0 85.11845,27.025229,0.0 85.118614,27.025416,0.0 85.118806,27.025673,0.0 85.118802,27.026057,0.0 85.118407,27.026214,0.0 85.11792,27.026337,0.0 85.117668,27.026533,0.0 85.11758,27.026746,0.0 85.117583,27.027067,0.0 85.117647,27.027234,0.0 85.117777,27.027465,0.0 85.118027,27.027816,0.0 85.118179,27.027919,0.0 85.118321,27.028023,0.0 85.118485,27.028223,0.0 85.118695,27.02911,0.0 85.118794,27.029205,0.0 85.118818,27.02937,0.0 85.118464,27.029967,0.0 85.118384,27.030185,0.0 85.11801,27.030444,0.0 85.117304,27.030833,0.0 85.117117,27.031128,0.0 85.117,27.031443,0.0 85.116736,27.031627,0.0 85.116528,27.031621,0.0 85.116322,27.031456,0.0 85.116126,27.031323,0.0 85.116024,27.031355,0.0 85.115976,27.031451,0.0 85.116027,27.031605,0.0 85.116059,27.031792,0.0 85.116354,27.032181,0.0 85.116628,27.032394,0.0 85.116768,27.032615,0.0 85.11676,27.032762,0.0 85.1167,27.032874,0.0 85.116563,27.032943,0.0 85.11627,27.03293,0.0 85.116,27.032919,0.0 85.115956,27.032995,0.0 85.11602,27.033148,0.0 85.116104,27.033204,0.0 85.116297,27.033397,0.0 85.116384,27.03365,0.0 85.116336,27.033738,0.0 85.116168,27.033803,0.0 85.115969,27.033844,0.0 85.115832,27.033889,0.0 85.115775,27.033981,0.0 85.115807,27.03408,0.0 85.116146,27.034296,0.0 85.116356,27.034437,0.0 85.116548,27.03463,0.0 85.116675,27.034827,0.0 85.116659,27.035002,0.0 85.116354,27.035411,0.0 85.116391,27.035623,0.0 85.116507,27.035975,0.0 85.116762,27.036312,0.0 85.117144,27.036698,0.0 85.117418,27.03684,0.0 85.117543,27.037126,0.0 85.117978,27.037605,0.0 85.118186,27.037819,0.0 85.118457,27.038088,0.0 85.118912,27.038321,0.0 85.119442,27.038598,0.0 85.119612,27.038692,0.0 85.120076,27.038787,0.0 85.120223,27.039102,0.0 85.120575,27.03899,0.0 85.121462,27.038921,0.0 85.121645,27.038913,0.0 85.122465,27.038899,0.0 85.122498,27.039141,0.0 85.12295,27.040071,0.0 85.123067,27.040212,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
"<div class=""googft-info-window"">
<b>geometry_vertex_count:</b> 49<br>
<b>Id:</b> 2<br>
<b>Pro_Name:</b> Bagaiya Jamuni IP (GCA - 241 Ha)<br>
<b>import_notes:</b> 
</div>",Bagaiya Jamuni IP (GCA - 241 Ha),49,2,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>85.189163,27.090522,0.0 85.19068,27.08978,0.0 85.190448,27.089403,0.0 85.189914,27.088722,0.0 85.190049,27.087885,0.0 85.19033,27.087303,0.0 85.190424,27.086838,0.0 85.188271,27.085687,0.0 85.187063,27.084235,0.0 85.186492,27.083775,0.0 85.186259,27.082896,0.0 85.185723,27.082269,0.0 85.185099,27.082008,0.0 85.184231,27.081437,0.0 85.182985,27.081456,0.0 85.182131,27.080574,0.0 85.182083,27.079886,0.0 85.181298,27.07986,0.0 85.180908,27.07924,0.0 85.180802,27.079054,0.0 85.180381,27.078839,0.0 85.180237,27.078342,0.0 85.17925,27.077197,0.0 85.178617,27.076641,0.0 85.177632,27.07646,0.0 85.17666,27.07591,0.0 85.175721,27.076011,0.0 85.175029,27.076453,0.0 85.174796,27.077484,0.0 85.17449,27.078203,0.0 85.174016,27.079516,0.0 85.173376,27.081579,0.0 85.173046,27.083296,0.0 85.172849,27.084482,0.0 85.173147,27.086349,0.0 85.174246,27.088179,0.0 85.174988,27.08917,0.0 85.175601,27.091191,0.0 85.175932,27.093165,0.0 85.17677,27.095484,0.0 85.179508,27.095148,0.0 85.181977,27.094846,0.0 85.183499,27.094855,0.0 85.185457,27.09463,0.0 85.187196,27.094335,0.0 85.187603,27.094026,0.0 85.18746,27.092992,0.0 85.187979,27.092127,0.0 85.189163,27.090522,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
"<div class=""googft-info-window"">
<b>geometry_vertex_count:</b> 343<br>
<b>Id:</b> 3<br>
<b>Pro_Name:</b> Praganna Jokaha IP (GCA - 282 Ha)<br>
<b>import_notes:</b> 
</div>",Praganna Jokaha IP (GCA - 282 Ha),343,3,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>85.071775,26.99643,0.0 85.072071,26.996365,0.0 85.07237,26.996325,0.0 85.072923,26.996052,0.0 85.073625,26.995645,0.0 85.074201,26.995564,0.0 85.074609,26.995733,0.0 85.074852,26.996516,0.0 85.075052,26.997319,0.0 85.075206,26.997797,0.0 85.075518,26.998344,0.0 85.075689,26.999076,0.0 85.075415,26.999481,0.0 85.075355,26.999998,0.0 85.075722,27.000989,0.0 85.075625,27.001818,0.0 85.075808,27.002748,0.0 85.075868,27.003628,0.0 85.075194,27.004238,0.0 85.074473,27.005095,0.0 85.074526,27.00513,0.0 85.07452,27.00569,0.0 85.074528,27.006439,0.0 85.074555,27.00699,0.0 85.074404,27.007345,0.0 85.074618,27.008978,0.0 85.074718,27.011463,0.0 85.074996,27.011225,0.0 85.075146,27.011327,0.0 85.075198,27.011607,0.0 85.074855,27.011935,0.0 85.075138,27.012272,0.0 85.075711,27.012584,0.0 85.075563,27.012658,0.0 85.07547,27.012847,0.0 85.075458,27.013023,0.0 85.075554,27.013234,0.0 85.075543,27.013477,0.0 85.075464,27.013677,0.0 85.075466,27.013877,0.0 85.075548,27.013998,0.0 85.075725,27.014136,0.0 85.075822,27.014311,0.0 85.075858,27.014601,0.0 85.075915,27.014813,0.0 85.075978,27.015067,0.0 85.07598,27.015072,0.0 85.076123,27.015411,0.0 85.076304,27.015864,0.0 85.076313,27.016198,0.0 85.076487,27.016639,0.0 85.076516,27.016832,0.0 85.076703,27.01731,0.0 85.076848,27.01766,0.0 85.07696,27.017956,0.0 85.077125,27.018319,0.0 85.077236,27.018554,0.0 85.077326,27.018802,0.0 85.077464,27.019079,0.0 85.077623,27.019381,0.0 85.077791,27.019313,0.0 85.077851,27.019186,0.0 85.077971,27.018967,0.0 85.078091,27.018826,0.0 85.078205,27.018668,0.0 85.078406,27.018509,0.0 85.078792,27.018488,0.0 85.079172,27.018618,0.0 85.079399,27.019028,0.0 85.079918,27.019552,0.0 85.080278,27.019688,0.0 85.080669,27.019534,0.0 85.08099,27.019149,0.0 85.081331,27.018668,0.0 85.081757,27.018653,0.0 85.081985,27.01913,0.0 85.082145,27.019631,0.0 85.082337,27.019842,0.0 85.082479,27.019841,0.0 85.082701,27.019754,0.0 85.082958,27.019698,0.0 85.083263,27.019786,0.0 85.083448,27.019973,0.0 85.083565,27.020257,0.0 85.083412,27.020458,0.0 85.083007,27.02054,0.0 85.082628,27.020628,0.0 85.082394,27.020842,0.0 85.082131,27.020934,0.0 85.081881,27.020997,0.0 85.081815,27.021143,0.0 85.081798,27.021513,0.0 85.081786,27.021689,0.0 85.081652,27.021805,0.0 85.08147,27.021897,0.0 85.081296,27.022056,0.0 85.081149,27.022312,0.0 85.081036,27.022476,0.0 85.080929,27.022665,0.0 85.080823,27.022872,0.0 85.080731,27.023157,0.0 85.080618,27.0234,0.0 85.080593,27.023649,0.0 85.080576,27.02391,0.0 85.080454,27.023905,0.0 85.080379,27.02382,0.0 85.080248,27.023652,0.0 85.08014,27.023646,0.0 85.079991,27.023623,0.0 85.079754,27.023637,0.0 85.079673,27.023583,0.0 85.079508,27.023409,0.0 85.079333,27.023422,0.0 85.079178,27.023478,0.0 85.079146,27.023763,0.0 85.079188,27.023884,0.0 85.079197,27.024054,0.0 85.079214,27.024472,0.0 85.079161,27.024702,0.0 85.079105,27.025047,0.0 85.079195,27.025159,0.0 85.079209,27.025176,0.0 85.079575,27.024765,0.0 85.079926,27.024478,0.0 85.080775,27.024424,0.0 85.080949,27.024153,0.0 85.080911,27.0239,0.0 85.080767,27.0236,0.0 85.080845,27.023523,0.0 85.080951,27.023482,0.0 85.081148,27.023526,0.0 85.08127,27.02349,0.0 85.081403,27.023294,0.0 85.081479,27.023052,0.0 85.081577,27.022816,0.0 85.081755,27.022669,0.0 85.081944,27.022517,0.0 85.08224,27.022405,0.0 85.08258,27.022322,0.0 85.082776,27.022336,0.0 85.082949,27.022294,0.0 85.083207,27.022262,0.0 85.083379,27.02215,0.0 85.083507,27.022039,0.0 85.083476,27.021759,0.0 85.08348,27.021568,0.0 85.083602,27.021507,0.0 85.083754,27.021586,0.0 85.083873,27.02168,0.0 85.083979,27.021725,0.0 85.084125,27.021749,0.0 85.084287,27.021687,0.0 85.084544,27.021595,0.0 85.084756,27.021598,0.0 85.08493,27.021572,0.0 85.085244,27.021635,0.0 85.085536,27.021718,0.0 85.085715,27.021716,0.0 85.086016,27.021654,0.0 85.086145,27.021623,0.0 85.086331,27.021737,0.0 85.086578,27.02183,0.0 85.086802,27.021893,0.0 85.086959,27.021892,0.0 85.087177,27.021871,0.0 85.087327,27.021739,0.0 85.087359,27.021628,0.0 85.08737,27.021523,0.0 85.087442,27.021437,0.0 85.087631,27.021326,0.0 85.087765,27.021315,0.0 85.087882,27.021233,0.0 85.087892,27.021138,0.0 85.087768,27.021039,0.0 85.087616,27.02095,0.0 85.087548,27.02082,0.0 85.087574,27.020689,0.0 85.087641,27.020599,0.0 85.08782,27.020607,0.0 85.087958,27.020461,0.0 85.087968,27.020285,0.0 85.087916,27.020165,0.0 85.087786,27.020051,0.0 85.087651,27.019952,0.0 85.087589,27.019867,0.0 85.087666,27.019761,0.0 85.087811,27.01974,0.0 85.087923,27.019699,0.0 85.087965,27.019393,0.0 85.088041,27.019157,0.0 85.088118,27.019001,0.0 85.088139,27.018855,0.0 85.088104,27.018735,0.0 85.08809,27.018485,0.0 85.088042,27.018064,0.0 85.088336,27.017821,0.0 85.088513,27.017654,0.0 85.088774,27.017442,0.0 85.088874,27.017286,0.0 85.0891,27.016983,0.0 85.089182,27.016712,0.0 85.089044,27.016417,0.0 85.088711,27.016124,0.0 85.088587,27.015954,0.0 85.088535,27.015784,0.0 85.088528,27.015714,0.0 85.088657,27.015668,0.0 85.088775,27.015712,0.0 85.088932,27.015756,0.0 85.08901,27.015761,0.0 85.089232,27.015528,0.0 85.089426,27.015381,0.0 85.089694,27.015284,0.0 85.089972,27.015142,0.0 85.090284,27.014939,0.0 85.090691,27.01475,0.0 85.090841,27.014684,0.0 85.091147,27.014516,0.0 85.091118,27.014381,0.0 85.091305,27.014049,0.0 85.09132,27.013813,0.0 85.091116,27.013559,0.0 85.09094,27.013355,0.0 85.090804,27.01318,0.0 85.090857,27.012889,0.0 85.090983,27.012597,0.0 85.091004,27.012447,0.0 85.090762,27.012253,0.0 85.090525,27.012095,0.0 85.090307,27.012066,0.0 85.089999,27.012069,0.0 85.089762,27.01194,0.0 85.089459,27.011787,0.0 85.089133,27.011664,0.0 85.088756,27.011507,0.0 85.088637,27.011322,0.0 85.088742,27.011126,0.0 85.088924,27.010849,0.0 85.088889,27.010754,0.0 85.088696,27.010469,0.0 85.088453,27.010211,0.0 85.088227,27.009987,0.0 85.088136,27.009847,0.0 85.088118,27.009677,0.0 85.088211,27.009456,0.0 85.08836,27.009289,0.0 85.088694,27.009136,0.0 85.089034,27.008928,0.0 85.088942,27.008713,0.0 85.088818,27.008639,0.0 85.088348,27.008652,0.0 85.088096,27.008579,0.0 85.087763,27.008321,0.0 85.087581,27.008047,0.0 85.087439,27.007837,0.0 85.087253,27.007643,0.0 85.087156,27.007489,0.0 85.087115,27.007309,0.0 85.087002,27.007124,0.0 85.08682,27.006865,0.0 85.086562,27.006786,0.0 85.086371,27.006743,0.0 85.086157,27.006614,0.0 85.086049,27.00645,0.0 85.085947,27.006255,0.0 85.085571,27.006208,0.0 85.085228,27.006055,0.0 85.085014,27.005851,0.0 85.08476,27.005647,0.0 85.084511,27.005389,0.0 85.084363,27.005159,0.0 85.084321,27.004864,0.0 85.084258,27.004669,0.0 85.084156,27.004499,0.0 85.084048,27.0044,0.0 85.083662,27.004393,0.0 85.083455,27.004414,0.0 85.083221,27.004466,0.0 85.082986,27.004543,0.0 85.082819,27.00461,0.0 85.082629,27.004656,0.0 85.082456,27.004652,0.0 85.082237,27.004559,0.0 85.082045,27.004425,0.0 85.081892,27.004246,0.0 85.081784,27.004066,0.0 85.081777,27.003861,0.0 85.081769,27.003685,0.0 85.081564,27.003281,0.0 85.08146,27.002936,0.0 85.081424,27.002665,0.0 85.08149,27.002554,0.0 85.081487,27.002314,0.0 85.08143,27.002114,0.0 85.0814,27.001944,0.0 85.081404,27.001748,0.0 85.081463,27.001547,0.0 85.081434,27.001417,0.0 85.081257,27.001072,0.0 85.080979,27.000623,0.0 85.080752,27.000364,0.0 85.080729,27.000244,0.0 85.080722,27.000079,0.0 85.080758,26.999728,0.0 85.080749,26.999417,0.0 85.080668,26.999147,0.0 85.08056,26.998957,0.0 85.080541,26.998702,0.0 85.080433,26.998552,0.0 85.080175,26.998519,0.0 85.080002,26.998541,0.0 85.079766,26.998437,0.0 85.079597,26.998293,0.0 85.079489,26.998148,0.0 85.079442,26.997978,0.0 85.079431,26.997923,0.0 85.079307,26.997884,0.0 85.079228,26.997759,0.0 85.07882,26.997296,0.0 85.078898,26.9972,0.0 85.078919,26.997115,0.0 85.078575,26.996842,0.0 85.078287,26.996538,0.0 85.07813,26.99654,0.0 85.077894,26.996391,0.0 85.077573,26.996148,0.0 85.077594,26.996052,0.0 85.077553,26.995847,0.0 85.077321,26.995608,0.0 85.077264,26.995423,0.0 85.076996,26.995511,0.0 85.076745,26.995593,0.0 85.076638,26.995518,0.0 85.076603,26.995388,0.0 85.076585,26.995288,0.0 85.076292,26.995115,0.0 85.076072,26.994969,0.0 85.074525,26.994321,0.0 85.07359,26.994628,0.0 85.07297,26.995246,0.0 85.072328,26.995778,0.0 85.070722,26.99591,0.0 85.071775,26.99643,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
